ImageSceneContainerName::Image Scene Container Name ;ImageSceneRow::Image Scene Row Index!!I;ImageSceneColumn::Image Scene Column Index!!I;ID::ID!!I;Index::Index!!I;IntensityMean_mCher::Intensity Mean Value of channel 'mCher'!!R;Area::Area!!R;Perimeter::Perimeter!!R;Roundness::Roundness!!R;FeretRatio::Feret Ratio!!R
;;;;;"Gray";"µm²";"µm";;
"E8";5;8;17;16;4698,0626702997;314,85778780837;68,169495657247;0,74766778156252;0,79596346998136
"E8";5;8;18;17;5031,8688711517;1504,7971657109;185,30942746205;0,42868613815873;0,47416321148698
"E8";5;8;19;18;5222,5567375887;241,9343219672;60,759564472495;0,70541443590074;0,80786584510309
"E8";5;8;20;19;6422,5482954546;603,97788179045;92,158680057265;0,89641869452399;0,94871401947198
"E8";5;8;21;20;5239,9157303371;610,84126681079;99,475519291589;0,67402478065783;0,74899771342824
"E8";5;8;22;21;4805,9933774834;129,54639225903;48,427856498578;0,48797007436585;0,56997793860862
"E9";5;9;2;1;4956,8368794326;120,9671609836;42,645664260742;0,5866889330365;0,66483782984234
"E9";5;9;3;2;5440,9654178674;893,09797577252;112,89238656345;0,8273961258728;0,8994537115509
"E9";5;9;4;3;3568,6272727273;94,371544029757;36,863472022906;0,66068888286964;0,68682658601514
"E9";5;9;5;4;3816,1687657431;340,59548163467;77,114073838488;0,46979624146526;0,51736935415765
"E9";5;9;6;5;4278,8675324675;330,30040410415;70,021978453436;0,83654036012685;0,90553391670677
"E9";5;9;7;6;3687,3497536946;174,15839489128;51,047662793011;0,68567815161672;0,75723311568833
"E9";5;9;8;7;4512,7399103139;191,31685744214;53,442725238171;0,73568015725251;0,81443609519706
"E9";5;9;9;8;4406,1335740072;475,28941265896;82,44677837778;0,81551519547334;0,85005317891321
"E9";5;9;10;9;3466,5492957747;60,912542055571;29,771376637854;0,69538653683946;0,78935327441303
"F9";6;9;2;1;5779,6502994012;716,36581149861;103,27357683439;0,68866920549983;0,71263158329742
"F9";6;9;3;2;3922,8832116788;235,07093694685;62,387303419411;0,51842857459869;0,56918476870266
"F9";6;9;4;3;5447,6350877193;244,50809134983;58,457593977763;0,83804546466068;0,9130822528474
